
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.3:1024       lb-140-82-114-25-iad:https  ESTABLISHED
  TCP    192.168.1.3:1025       ec2-44-235-30-74:https  TIME_WAIT
  TCP    192.168.1.3:1027       162.247.243.146:https  ESTABLISHED
  TCP    192.168.1.3:1030       151.101.128.134:https  ESTABLISHED
  TCP    192.168.1.3:1032       151.101.120.64:https   ESTABLISHED
  TCP    192.168.1.3:1033       ec2-50-112-131-231:https  ESTABLISHED
  TCP    192.168.1.3:1036       162.247.243.146:https  ESTABLISHED
  TCP    192.168.1.3:1042       61:https               TIME_WAIT
  TCP    192.168.1.3:1070       ec2-52-201-47-39:https  ESTABLISHED
  TCP    192.168.1.3:2401       91-228-165-159:8883    ESTABLISHED
  TCP    192.168.1.3:2514       20.54.37.73:https      ESTABLISHED
  TCP    192.168.1.3:2593       tfsdemogenerator2k19:microsoft-ds  ESTABLISHED
  TCP    192.168.1.3:2597       sql2k12:microsoft-ds   ESTABLISHED
  TCP    192.168.1.3:8336       ec2-44-235-30-74:https  TIME_WAIT
  TCP    192.168.1.3:9021       ec2-50-112-131-231:https  ESTABLISHED
  TCP    192.168.1.3:12391      ec2-44-235-30-74:https  ESTABLISHED
  TCP    192.168.1.3:14929      cdn-185-199-110-154:https  ESTABLISHED
  TCP    192.168.1.3:15949      162.247.243.147:https  ESTABLISHED
  TCP    192.168.1.3:15991      ec2-50-112-131-231:https  ESTABLISHED
  TCP    192.168.1.3:15996      20.189.173.1:https     TIME_WAIT
  TCP    192.168.1.3:18438      ec2-52-5-112-135:https  ESTABLISHED
  TCP    192.168.1.3:18737      a95-100-95-161:https   CLOSE_WAIT
  TCP    192.168.1.3:18738      a95-100-95-161:https   CLOSE_WAIT
  TCP    192.168.1.3:18742      server-13-249-13-67:https  CLOSE_WAIT
  TCP    192.168.1.3:18744      server-13-249-12-135:http  ESTABLISHED
  TCP    192.168.1.3:18748      93.184.220.29:http     ESTABLISHED
  TCP    192.168.1.3:20011      151.101.122.132:https  ESTABLISHED
  TCP    192.168.1.3:22120      cdn-185-199-110-154:https  ESTABLISHED
  TCP    192.168.1.3:22181      204.79.197.222:https   ESTABLISHED
  TCP    192.168.1.3:22203      38-90-226-11:http      TIME_WAIT
  TCP    192.168.1.3:22208      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22209      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22210      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22219      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22220      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22221      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22222      ec2-3-220-64-216:https  ESTABLISHED
  TCP    192.168.1.3:22229      ec2-35-170-135-210:https  ESTABLISHED
  TCP    192.168.1.3:22230      ec2-54-89-37-155:https  TIME_WAIT
  TCP    192.168.1.3:22232      151.101.122.217:https  ESTABLISHED
  TCP    192.168.1.3:22234      a1370dc23e25e46ce:https  ESTABLISHED
  TCP    192.168.1.3:22235      ec2-34-196-161-49:https  ESTABLISHED
  TCP    192.168.1.3:22237      ec2-18-210-141-212:https  CLOSE_WAIT
  TCP    192.168.1.3:22240      ec2-34-196-161-49:https  ESTABLISHED
  TCP    192.168.1.3:22250      server-13-32-158-116:https  TIME_WAIT
  TCP    192.168.1.3:22252      server-99-86-91-17:https  ESTABLISHED
  TCP    192.168.1.3:22253      server-13-32-158-116:https  TIME_WAIT
  TCP    192.168.1.3:22286      52.173.134.115:https   ESTABLISHED
  TCP    192.168.1.3:26001      ec2-35-167-162-32:https  ESTABLISHED
  TCP    192.168.1.3:26114      93.184.220.29:http     ESTABLISHED
  TCP    192.168.1.3:26117      168.61.53.195:http     ESTABLISHED
  TCP    192.168.1.3:26284      151.101.120.64:https   ESTABLISHED
  TCP    192.168.1.3:30934      SIERAC:15101           ESTABLISHED
  TCP    192.168.1.3:31583      162.247.243.147:https  ESTABLISHED
  TCP    192.168.1.4:445        SIERAC:1261            ESTABLISHED
  TCP    192.168.1.4:2014       SIERAC:microsoft-ds    ESTABLISHED
  TCP    192.168.1.29:445       SIERAC:1059            ESTABLISHED
  TCP    192.168.1.29:2013      SIERAC:microsoft-ds    ESTABLISHED
  TCP    [::1]:2481             salam7:2483            ESTABLISHED
  TCP    [::1]:2483             salam7:2481            ESTABLISHED
  TCP    [::1]:15994            salam7:30180           TIME_WAIT
  TCP    [::1]:30180            salam7:15995           TIME_WAIT
  TCP    [2a01:e0a:322:14d1::3]:445  [2a01:e0a:322:14d1:c5a6:bcef:3d89:937b]:8886  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:1029  ws-in-f188:5228        ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:1034  [2600:9000:20e1:9000:12:8352:8cc0:93a1]:https  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:1058  [2606:50c0:8003::154]:https  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:2595  [2a01:e0a:322:14d1:1462:9124:5cfc:560d]:microsoft-ds  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:2623  [2a01:e0a:322:14d1:95e6:542e:2651:7a94]:microsoft-ds  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:2719  [2606:4700:3032::6815:56a]:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18745  [2620:108:700f::3428:2f48]:http  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18749  [2620:108:700f::2cf0:798f]:http  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18750  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18752  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18754  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18755  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18756  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18757  g2a02-26f0-2b00-0005-0000-0000-5c7a-324b:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:18758  g2a02-26f0-2b00-0798-0000-0000-0000-1011:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:22179  [2600:9000:219c:9200:6:8656:f5c0:93a1]:https  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:22186  [2603:1046:700:70::2]:https  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:22285  g2a02-26f0-2b00-0980-0000-0000-0000-2c1a:https  ESTABLISHED
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:26118  par10s33-in-x0e:https  CLOSE_WAIT
  TCP    [2a01:e0a:322:14d1:61ab:8292:f255:cdfb]:26119  par21s03-in-x03:http   CLOSE_WAIT
